survey.pages,neighborhood,meeting.location,work.needed,district,location,coordinates,budget.project,project.description,project.category,equity,workforce.entrepr,children.families,crit.infrastructure,crit.communities,grn.infrastructure,mobility,climate,arts.culture,housing,additional.priorities,budget.project.2,issue.understanding,consider.pov,voice.heard,share.stories,neighbor.engagement,future.attendance,other.issues,budget.project.3,addtl.feedback,budget.project.4
193-196,[BLANK],SOUTH SIDE,SHALER STREET WATER DRAINAGE PROBLEMS WHILE THE SHALER BRIDGE IS [UNINTELLIGIBLE] PENNDOT,2,MT WASH + DUQ. HTS.,"40.433305, -80.028805",FLOOD CONTROL,STREET TREES,COMPLETE STREETS,,,,,,,,,,,,,,,,,,,,,,
193-196,[BLANK],SOUTH SIDE,STEPS FROM SOUTH HILLS JUNCTION TO NORTH (2 SETS),2,MT WASHINGTON,"40.421138, -80.007009",STEP REPAIR AND REPLACEMENT,,,,,,,,,,,,,,,,,,,,,,,,
193-196,[BLANK],SOUTH SIDE,NATIVE PLANT RESTORATION + GREEN INFRA PROJECTS IN EMERALD VIEW PARK,2,MT WASHINGTON,"40.427035, -79.997177",PARK RECONSTRUCTION,,,,,,,,,,,,,,,,,,,,,,,,
197-200,HIGHLAND PARK,SOUTH SIDE,MORE PEDESTRIAN-FRIENDLY/COMPLETE STREETS WORK,"8, 9",CENTRE + HIGHLAND,"40.459947, -79.925021",COMPLETE STREETS,SUPPORT FOR HALS,SENIOR COMMUNITY PROGRAM,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,ACCESSIBILITY (BEYOND ADA COMPLIANCE),ADA COMPLIANCE,VERY,SOMEWHAT,A LITTLE,SOMEWHAT,VERY,DEFINITELY YES,FUNDING + TAX POLICY CHANGES - HOW TO INCREASE FUNDS,,HIGHLIGHTING EXAMPLE OF EFFECTIVE PROCESS FOR SPECIFIC BUDGET ITEM FROM START TO FINISH,
197-200,HIGHLAND PARK,SOUTH SIDE,COMPLETE STREETS @ INTERSECTION,7,40TH + PENN,"40.465167, -79.957961",COMPLETE STREETS,COMPLETE STREETS PRIORITIZED,COMPLETE STREETS,,,,,,,,,,,,,,,,,,,,,BRING IN COMMUNITY MEMBERS TO TALK ABOUT BUDGET ITEM THEY SAW IMPLEMENTED,
197-200,HIGHLAND PARK,SOUTH SIDE,COMPLETE STREETS @ INTERSECTION,7,BLOOMFIELD BRIDGE INTERSECTION,"40.463639, -79.953002",COMPLETE STREETS,MORE FUNDING FOR PUBLIC TRANSIT + MOBILITY PLANNING,"DESIGN, CONSTRUCTION, AND INSPECTION SERVICES",,,,,,,,,,,,,,,,,,,,,,
201-204,OAKLAND,SOUTH SIDE,FIXED SIDEWALKS,"3, 6",SOUTH OAKLAND,"40.434853, -79.964642",RAMP AND PUBLIC SIDEWALK,"THE CITY OF PITTSBURGH NEEDS TO SOLVE ACCESSIBILITY PROBLEMS (FOR DISABLED, RESIDENTS WHO LIVE FAR AWAY, ETC)",COMPLETE STREETS,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,N/A,,VERY,VERY,VERY,SOMEWHAT,VERY,PROBABLY YES,TRANSPORTATION,,N/A,
201-204,OAKLAND,SOUTH SIDE,MORE ACCESSIBLE (BETTER CROSSWALKS),"3, 6",BLVD OF THE ALLIES,"40.435909, -79.960414",COMLETE STREETS,ABANDONED REC CENTERS AND SENIOR CENTERS AND BUILDINGS SHOULD BE RENOVATED TO CREATE AFFORDABLE HOUSING IN THE CITY,FACILITY IMPROVEMENTS - RECREATION AND SENIOR CENTERS,,,,,,,,,,,,,,,,,,,FOOD DESERTS,,,
205-208,SHERADEN,SOUTH SIDE,POWER WASH + PAINT THE INSIDE OF THE CORLISS TUNNEL,2,SHERADEN - CORLISS ST,"40.452394, -80.040349",,STREET RESURFACING,STREET RESURFACING,IMPORTANT,NOT IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,NOT IMPORTANT,SOMEWHAT IMPORTANT,USE COMMON SENSE.  BASIC NEEDS SHOULD BE MET PRIOR TO BIKE LANES.,COMPLETE STREETS,SOMEWHAT,A LITTLE,NOT AT ALL,A LITTLE,SOMEWHAT,PROBABLY NOT,INCREASE OCCUPATION TAX TO 0.10%,,[BLANK],
205-208,SHERADEN,SOUTH SIDE,,,,,,EROSION OF HILL SIDES - DESTROYING HOMES,SLOPE FAILURE REMEDIATION,,,,,,,,,,,,,,,,,,,,,,
209-212,BEECHVIEW,SOUTH SIDE,"INFRASTRUCTURE UPGRADE TO HELP STOP FLOODING, LANDSLIDE","2, 4",IN SOUTH 51,"40.398481, -79.999983",SLOPE FAILURE,WIDEN ROUTE 51 - PUT BARRIERS UP IN THE MIDDLE,COMPLETE STREETS,IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,IS SNOW REMOVAL ON THIS?  EARLY MORNING WHEN CONCERNS ARE HAPPENING 311 IS CLOSED AND 911 WON'T RESPOND,,SOMEWHAT,SOMEWHAT,SOMEWHAT,SOMEWHAT,SOMEWHAT,PROBABLY YES,THE MTG HAD MANY WHITE PEOPLE - HOW DO YOU GET EVERYONE'S POINT OF VIEW?,,[BLANK],
209-212,BEECHVIEW,SOUTH SIDE,PAT PROBLEM IN SOUTH FROM FLOODING,4,"BEECHVIEW
ORANGEWOOD + WESTFIELD","40.410277, -80.019159",FLOOD CONTROL,INCREASE THE OCCUPATION WORK TAX.  $52 BASED ON SALARY 1/10 OF 1%,,,,,,,,,,,,,,,,,,,,,,,
213-216,OVERBROOK,SOUTH SIDE,"ZONING STUDY, DEVELOPMENT REGULATION OF SAW MILL RUN WATERSHED",2,"SAW MILL RUN BLVD
INCREASE BUDGET, MOVE AHEAD NOW","40.406750, -80.003978",FLOOD CONTROL,GREEN INFRASTRUCTURE/STORMWATER,FLOOD CONTROL,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,LIGHT POLLUTION/DARK SKIES,STREET LIGHTS,VERY,VERY,VERY,VERY,VERY,DEFINITELY YES,[BLANK],,[BLANK],
213-216,OVERBROOK,SOUTH SIDE,"PROPERTY BUY OUTS OF IDENTIFIED AREAS (IE PROVOST, LIBRARY ROAD)",4,OVERBROOK,"40.382733, -79.996856",FLOOD CONTROL,,,,,,,,,,,,,CONDEMNED BUILDING DEMOLITION,REMEDIATION OF CONDEMNED BUILDINGS,,,,,,,,,,
213-216,OVERBROOK,SOUTH SIDE,"STORMWATER PROJECTS COORDINATED W/ ARMY CORP, PENNDOT PROCEED WITH GREEN INFRASTRUCTURE",4,OVERBROOK,"40.383548, -79.995806",FLOOD CONTROL,,,,,,,,,,,,,,,,,,,,,,,,
213-216,OVERBROOK,SOUTH SIDE,GRANT FUNDS FOR HOMEOWNERS TO ASSIST IN DEALING WITH THEIR OWN STORMWATER,4,OVERBROOK,"40.385663, -80.000295",FLOOD CONTROL,,,,,,,,,,,,,,,,,,,,,,,,
217-220,SPRING HILL,SOUTH SIDE,SIDEWALK IMPROVEMENTS,1,"ITIN STREET, CHESTNUT STREET","40.458103, -79.995486",RAMP AND PUBLIC SIDEWALK,RECYCLING BINS!  SPENDING SO MUCH MONEY ON JUST TRASH BINS IS RIDICULOUS WHEN THE BINS ARE FULL OF RECYCLABLE ITEMS.  TO HAVE SO FEW RECYCLING BINS IS ANTITHETICAL TO PITTSBURGH'S ASPIRATIONS AS A GREEN CITY,LITTER CAN UPGRADES AND MONITORING ,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,IMPORTANT,NOT IMPORTANT,IMPORTANT,"SUSTAINABILITY - THIS IS IN LINE WITH CLIMATE, BUT SUSTAINABILITY WE HAVE CONTROL OVER, CLIMATE WE AFFECT",,SOMEWHAT,SOMEWHAT,SOMEWHAT,VERY,VERY,DEFINITELY YES,"SOMETHING ABOUT INVESTING IN PEOPLE.  WE DISCUSSED SPECIAL NEEDS AT OUR TABLE, AND THE PGH COMMUNITY CAN BE MORE AWARE AND INCLUSIVE OF EXPERIENCES THAT ARE NOT DIRECTLY OUR OWN.  ALSO, THE CITY SHOULD ENCOURAGE CHILDCARE + INVESTMENT IN PRIMARY SCHOOLS - WE NEED TO GROW THE POPULATION",,"I HOPE TO ATTEND MORE!  I HAVE MY SPECIFIC QUESTIONS AND IDEAS, SO I HOPE TO BE MORE INVOLVED.  THANK YOU!",
217-220,SPRING HILL,SOUTH SIDE,VACANT PROPERTIES,1,DAMAS STREET (SCHEDULED FOR DEMO) OTHER ABANDONED PROPERTIES,"40.465546, -79.989380",REMEDIATION OF CONDEMNED BUILDINGS,,,,,,,,,,,,,,,,,,,,,,,,
221-224,POINT BREEZE,SOUTH SIDE,IMPROVED SECURITY/SURVEILLANCE CAMERA PRESENCE TO INCREASE SAFETY,8,POINT BREEZE,"40.448798, -79.910139",,AFFORDABLE HOUSING DEVELOPMENT,ECONOMIC DEVELOPMENT AND HOUSING,IMPORANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,[BLANK],,VERY,VERY,SOMEWHAT,SOMEWHAT,VERY,DEFINITELY YES,[BLANK],,"NICE EVENT, NOT SURE HOW/IF THE FEEDBACK IS ACTUALLY IMPLEMENTED.  CAN WE SEE THE SCORE OR FINAL PRIORITIES?",
221-224,POINT BREEZE,SOUTH SIDE,IMPROVED ROAD CONDITIONS ACROSS THE CITY,CITY-WIDE,CITY-WIDE,,STREET RESURFACING,"GREEN SPACE MAINTENANCE (PARKS, BIKE LANES + TRAILS FOR COMMUTE)",TRAIL DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,
221-224,POINT BREEZE,SOUTH SIDE,"INCREASE USE OF RENEWABLE ENERGY PROJECTS ACROSS THE CITY (SOLAR, HYDRO, BIOGAS, STORAGE)",CITY-WIDE,CITY-WIDE,,,STREET RESURFACING,STREET RESURFACING,,,,,,,,,,,,,,,,,,,,,,
221-224,POINT BREEZE,SOUTH SIDE,INCREASE ELECTRIC VEHICLE CHARGING INFRASTRUCTURE,CITY-WIDE,CITY-WIDE,,CAPITAL EQUIPMENT ACQUISITION,CRIME PREVENTION,,,,,,,,,,,,,,,,,,,,,,,
225-228,DUQUESNE HEIGHTS/MT. WASHINGTON,SOUTH SIDE,"REPAIR THE DANGEROUS SIDEWALK THAT IS CRUMBLING + WASHING AWAY ONTO PRIVATE PROPERTY - ""311"" HAS BEEN CONTACTED MULTIPLE TIMES, EMAILS WERE SENT TO COUNCIL REP, INFORMING THE FACT THAT 5 PEOPLE HAVE FALLEN DUE TO THE CONDITION OF THE STEPS, AND STILL…THEY CRUMBLE AWAY AS SENIOR CITIZENS + CHILDREN FIND IT SAFER TO WALK ON THE STREET THAN ON THE SIDEWALK",2,1500 BLOCK OF RUTLEDGE ST BY THE CHAIN LINK FENCE WHICH IS OWNED BY THE CITY,"40.439091, -80.022506",RAMP AND PUBLIC SIDEWALK,TAKE CARE OF THE CITY SIDEWALK + BRIDGE INFRASTRUCTURE,RAMP AND PUBLIC SIDEWALK,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,"""THE PIT"" ON GRANDVIEW AVE BETWEEN SWEETBRIAR + AUGUSTA STREETS ON MT WASHINGTON IS AN EMBARASSMENT TO THE CITY OF PGH WHO PROVIDES NO LEVERAGE TO ELIMINATE THIS EYESORE ",REMEDIATION OF CONDEMNED BUILDINGS,VERY,SOMEWHAT,SOMEWHAT,VERY,VERY,DEFINITELY YES,[BLANK],,[BLANK],
225-228,DUQUESNE HEIGHTS/MT. WASHINGTON,SOUTH SIDE,,,,,,TAKE CARE OF THE CITY SIDEWALK + BRIDGE INFRASTRUCTURE,BRIDGE UPGRADES,,,,,,,,,,,INCREASE PUBLIC PARKING (GARAGES + LOTS) THAT ARE DISAPPEARING ON THE NORTH SIDE + DOWNTOWN,,,,,,,,,,,
225-228,DUQUESNE HEIGHTS/MT. WASHINGTON,SOUTH SIDE,,,,,,,,,,,,,,,,,,"POLICE OFFICERS ""WALKING THE BEAT"" ON GRANDVIEW AVE ON MT WASHINGTON",,,,,,,,,,,
229-232,SOUTH SIDE,SOUTH SIDE,S 21 ST STORMWATER PROJECT,3,S 21 STREET,"40.427696, -79.976347",FLOOD CONTROL,"STORMWATER RUNOFF TO CONTAIN FLYING COSTS OF ROAD REPAIR, LANDSLIDES, AND MORE",FLOOD CONTROL,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,HELPING ELDERLY + LOW INCOME PEOLE STAY IN THEIR HOMES,ECONOMIC DEVELOPMENT AND HOUSING,VERY,SOMEWHAT,VERY,VERY,VERY,DEFINITELY YES,TRASH AND QUALITY OF LIFE TICKETING,LITTER CAN UPGRADES AND MONITORING,QUALITY OF LIFE TICKETING,
229-232,SOUTH SIDE,SOUTH SIDE,BIKE LANES,CITY-WIDE,WHOLE CITY,,COMPLETE STREETS,,,,,,,,,,,,,PAT PASSES FOR ALL STUDENT IN PGH SCHOOL DISTRICT,,,,,,,,,,,
229-232,SOUTH SIDE,SOUTH SIDE,OPHELIA LAWN PARKLET,6,SOUTH OAKLAND,"40.435494, -79.965427",PARK RECONSTRUCTION,,,,,,,,,,,,,,,,,,,,,,,,
229-232,SOUTH SIDE,SOUTH SIDE,CITY STEPS,CITY-WIDE,ALL OVER,,STEP REPAIR AND REPLACEMENT,,,,,,,,,,,,,,,,,,,,,,,,
233-236,SQ HILL,SOUTH SIDE,[BLANK],,[BLANK],,,"WASTE/RECYCLING/REUSING/RECLAIMING OF VALUABLE MATERIALS IE PLASTICS, METALS, ETC. + FOOD WASTE IE COMPOST
MOVEMENT TOWARDS POLICIES REQUIRING COMPOSTING OF FOOD SCRAPS LIKE WE HAVE FOR RECYCLING",,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,[BLANK],,A LITTLE,SOMEWHAT,SOMEWHAT,SOMEWHAT,SOMEWHAT,PROBABLY YES,REPRESENTATION - CULTURALLY APPROPRIATE/WELCOMING ENVIRONMENT,,HAVE STRONGER MODERATORS TO GUIDE START OF CONVERSATION.  MODERATES CAN MAKE OR BREAK ENGAGEMENT + GENERATION OF CONVERSATION,
237-240,HIGHLAND PARK,SOUTH SIDE,SIDEWALK REPLACED ALONG ONE WILD PLACE (ZOO),7,HIGHLAND PARK ONE WILD PLACE,"40.482338, -79.919721",RAMP AND PUBLIC SIDEWALK,ACCESS TO HIGH SPEED INTERNET (FREE OR AFFORDABLE),,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,IMPORTANT,PUBLIC EDUCATION,,A LITTLE,NOT AT ALL,NOT AT ALL,SOMEWHAT,SOMEWHAT,PROBABLY YES,THE OPERATING BUDGET - HOLD A FORUM ,,"IT WAS NOT CLEAR NOR EXPLICIT WHAT THE CAPITAL BUDGET FUNDS - PROVIDE A CATEGORICAL LIST.  IT'S IN THE TITLE, ""POTHOLES.""  COMMUNICATE THE CITY'S PLAN (INCLUDING ITS PRIORITIES) ON HOW TO REPAVE OUR STREETS AND RESURFACE WITH LONGER LASTING MATERIALS.",STREET RESURFACING
237-240,HIGHLAND PARK,SOUTH SIDE,SAFE CROSSWALKS - INTERSECTION CROSSWALK PAINTING,7,NEGLEY AND STANTON AVE,"40.471527, -79.926266",COMPLETE STREETS,,,,,,,,,,,,,HIGH SPEED INTERNET FOR ECONOMICALLY CHALLENGED N'HOODS,,,,,,,,AFFORDABLE HOUSING IN ALL NEIGHBORHOODS,ECONOMIC DEVELOPMENT AND HOUSING,,
237-240,HIGHLAND PARK,SOUTH SIDE,SAFE CROSSWALKS - INTERSECTION CROSSWALK PAINTING,7,HIGHLAND AVE AND STANTON,"40.469664, -79.921031",COMPLETE STREETS,,,,,,,,,,,,,,,,,,,,,,,,
237-240,HIGHLAND PARK,SOUTH SIDE,CONNECTION FROM HETH'S RUN TO THE RIVERFRONT,7,NEAR ZOO,"40.487405, -79.918046",COMPLETE STREETS,,,,,,,,,,,,,CLEAN AIR,,,,,,,,CITY'S POLITICAL WILL TO ENGAGE IN PUBLIC EDU IMPROVEMENT,,,
237-240,HIGHLAND PARK,SOUTH SIDE,LIGHTING ALONG BRYANT STREET,7,BRYANT STREET BUSINESS DISTRICT,"40.476337, -79.921379",STREET LIGHTS,,,,,,,,,,,,,VIOLENCE-COMMUNITY,,,,,,,,,,,
241-244,FINEVIEW,SOUTH SIDE,"REMOVE ASPHALT THAT COVERED A STORMWATER DRAIN 2+ YEARS AGO BY MISTAKE.  THE WATER COLLECTS AND IS DESTROYING AN ALLEY NEEDED FOR ACCESS.  I HAVE BEEN WRITING TO CITY COUNCIL + 311 FOR OVER A YEAR TO NO AVAIL.  THE ALLEY IS THE ONLY ACCESS TO LAFAYETTE AVENUE FOR 8 HOUSES IN FINEVIEW.  WHEN IT RAINS A LARGE PUDDLE FORMS AND PREVENTS PEDESTRIANS FROM GETTING TO LAFAYETTE AVENUE.  PLUS, THE WATER IS DESTROYING THE ALLEY BEHIND 338 LAFAYETTE AVE 15214",1,AT THE TOP OF THE GLENROSE CITY STEPS NEAR THE MCNOUGHER RESERVOIR ON FEDDERER WAY,"40.465563, -80.005812",FLOOD CONTROL,[BLANK],,[BLANK],[BLANK],[BLANK],[BLANK],[BLANK],[BLANK],[BLANK],[BLANK],[BLANK],[BLANK],[BLANK],,[BLANK],[BLANK],[BLANK],[BLANK],[BLANK],[BLANK],[BLANK],,[BLANK],
245-248,UPTOWN,SOUTH SIDE,RECREATION CENTER W/ YOUTH ACTIVITIES,CITY-WIDE,ALL,,FACILITY IMPROVEMENTS - RECREATION AND SENIOR CENTERS,INCREASED ACCESSIBILITY ACROSS THE BOARD,ADA COMPLIANCE,IMPORTANT,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,ACCESSIBILITY,ADA COMPLIANCE,NOT AT ALL,NOT AT ALL,A LITTLE,VERY,VERY,DEFINITELY YES,ACCESSIBILITY.,ADA COMPLIANCE,HOW CAN WE ELIMINATE UPMC'S TAX-EXEMPT STATUS?,
245-248,UPTOWN,SOUTH SIDE,REPAIRS OF SIDEWALK CURB CUTS,CITY-WIDE,MULTIPLE,,RAMP AND PUBLIC SIDEWALK,,,,,,,,,,,,,,,,,,,,,AFFORDABLE HOUSING.,ECONOMIC DEVELOPMENT AND HOUSING,,
245-248,UPTOWN,SOUTH SIDE,REDUCE SPEED ON WATSON ST. W/ GENTLE SPEED HUMPS (THAT A WHEELCHAIR COULD GET OVER),6,WATSON ST.,"40.438086, -79.984169",COMPLETE STREETS,,,,,,,,,,,,,,,,,,,,,TAXING NON-PROFITS.,,,
245-248,UPTOWN,SOUTH SIDE,VACANT LOT NEXT TO MY BUILDING IS SINKING,6,2010 FIFTH,"40.438065, -79.977152",REMEDIATION OF CONDEMNED BUILDINGS,,,,,,,,,,,,,,,,,,,,,,,,
249-252,HIGHLAND PARK,SOUTH SIDE,[BLANK],,[BLANK],,,STREET RESURFACING,STREET RESURFACING,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,N/A,,SOMEWHAT,VERY,SOMEWHAT,VERY,VERY,DEFINITELY YES,N/A,,[BLANK],
253-256,MT. WASHINGTON DUQUESNE HEIGHTS,SOUTH SIDE,EILEEN MCCOY PARK - RESURFACE THE PLAYGROUND,2,SHALER STREET MT. WASHINGTON DUQUESNE HEIGHTS,"40.438188, -80.024446",PLAY AREA IMPROVEMENTS,CITY OWNED SIDEWALKS,RAMP AND PUBLIC SIDEWALK,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,SOMEWHAT IMPORTANT,RE-ZONE THE POLICE STATIONS BACK TO THEIR NEIGHBORHOODS.  NEED MORE POLICE PATROLLING THE NEIGHBORHOODS.  DRUGS + THEFTS IS A PROBLEM IN DUQUESNE HTS!!!,,SOMEWHAT,SOMEWHAT,SOMEWHAT,VERY,SOMEWHAT,PROBABLY YES,NEIGHBORHOOD SAFETY + MOBILITY,,THE DUQUESNE HEIGHTS NEIGHBORHOOD + MT. WASHINGTON IS ERODING IN DRUG SALES + USE.  THEFT IS ALSO GROWING - SEE THE POLICE REPORTS.  IT IS REAL,
